WKT,name,description
"LINESTRING (-101.8746846 33.5844713, -101.8746843 33.5843150, -101.8746853 33.5841113, -101.8746817 33.5838454, -101.8746813 33.5838037, -101.8746817 33.5837264, -101.8746826 33.5835952)", Line 1,
"LINESTRING (-101.8746846 33.5844713, -101.8745170 33.5844042, -101.8743527 33.5843384, -101.8740081 33.5842006, -101.8739639 33.5841848, -101.8738617 33.5841481)", Line 2,
"LINESTRING (-101.8750749 33.5851427, -101.8750393 33.5850812, -101.8750109 33.5850321, -101.8747660 33.5846110, -101.8746846 33.5844713)", Line 3,
"LINESTRING (-101.8746846 33.5844713, -101.8746051 33.5846104, -101.8743544 33.5850330)", Line 4,
"LINESTRING (-101.8746846 33.5844713, -101.8745174 33.5845391, -101.8743531 33.5846053, -101.8740131 33.5847423)", Line 5,
"LINESTRING (-101.8746846 33.5844713, -101.8748528 33.5844024, -101.8753600 33.5841948, -101.8753772 33.5841872, -101.8754203 33.5841893, -101.8755203 33.5841942, -101.8755679 33.5841965)", Line 6,
"LINESTRING (-101.8778700 33.5848147, -101.8778696 33.5848672, -101.8778690 33.5849415)", Line 7,
"LINESTRING (-101.8890848 33.5841328, -101.8890819 33.5840971, -101.8883973 33.5845038, -101.8883386 33.5844351, -101.8882395 33.5843190, -101.8881858 33.5842561, -101.8881784 33.5841838, -101.8878424 33.5833755, -101.8878157 33.5833514, -101.8877780 33.5833422, -101.8877418 33.5833390, -101.8876804 33.5833397, -101.8876091 33.5833534, -101.8873205 33.5834098, -101.8872298 33.5834227, -101.8870889 33.5834307, -101.8869494 33.5834307, -101.8867153 33.5834307, -101.8866063 33.5834338, -101.8865387 33.5834468, -101.8864650 33.5834684, -101.8862550 33.5834965, -101.8862000 33.5835039, -101.8861449 33.5834996, -101.8861106 33.5834935, -101.8860784 33.5834953, -101.8860005 33.5835178, -101.8859558 33.5835524, -101.8858668 33.5835893, -101.8857615 33.5836329, -101.8856806 33.5836745, -101.8852364 33.5839484, -101.8845903 33.5843414, -101.8841863 33.5845891, -101.8840918 33.5846438, -101.8840182 33.5846863, -101.8839968 33.5846811, -101.8839743 33.5846790, -101.8839441 33.5846884, -101.8836895 33.5848452, -101.8836769 33.5848588, -101.8836656 33.5848870, -101.8836556 33.5849089, -101.8836292 33.5849309, -101.8832039 33.5851911, -101.8831738 33.5852005, -101.8831357 33.5852053, -101.8830621 33.5852502, -101.8829944 33.5852915, -101.8829742 33.5853283, -101.8824734 33.5856341, -101.8824519 33.5856288, -101.8824254 33.5856257, -101.8824014 33.5856404, -101.8823548 33.5857014, -101.8822544 33.5857077, -101.8821775 33.5857125, -101.8821037 33.5857171, -101.8820873 33.5856993, -101.8820507 33.5856803, -101.8820217 33.5856740, -101.8819460 33.5856761, -101.8818678 33.5856856, -101.8818047 33.5856877, -101.8817340 33.5856824, -101.8817012 33.5856835, -101.8816419 33.5856888, -101.8816053 33.5856888, -101.8815524 33.5856761, -101.8814830 33.5856446, -101.8814552 33.5856204, -101.8814237 33.5855794, -101.8813972 33.5855458, -101.8813710 33.5855257, -101.8813505 33.5855101, -101.8812079 33.5854365, -101.8811751 33.5854365, -101.8810937 33.5854050, -101.8810288 33.5853798, -101.8810124 33.5853629, -101.8809771 33.5853482, -101.8808862 33.5853219, -101.8808614 33.5853158, -101.8808522 33.5853135, -101.8807500 33.5852936, -101.8806465 33.5852789, -101.8805073 33.5852721, -101.8804951 33.5852715, -101.8804257 33.5852536, -101.8803424 33.5852304, -101.8803172 33.5852232, -101.8802264 33.5851958, -101.8801758 33.5851702, -101.8800996 33.5851311, -101.8800359 33.5850518, -101.8800286 33.5850392, -101.8799917 33.5849646, -101.8799715 33.5848900, -101.8797583 33.5849236)", Line 8,
"LINESTRING (-101.8815424 33.5896607, -101.8815353 33.5903884, -101.8815429 33.5904199, -101.8815610 33.5904479, -101.8815902 33.5905017, -101.8816160 33.5905812, -101.8817339 33.5909504, -101.8817400 33.5909763, -101.8817417 33.5910064, -101.8817391 33.5913419, -101.8817434 33.5913784, -101.8817555 33.5914121, -101.8817770 33.5914537, -101.8818088 33.5914860, -101.8818432 33.5915139, -101.8822228 33.5917369, -101.8822503 33.5917555, -101.8822839 33.5917871, -101.8823149 33.5918222, -101.8823493 33.5918681, -101.8823708 33.5919175, -101.8823854 33.5919613, -101.8823958 33.5920114, -101.8823983 33.5920573, -101.8824018 33.5920853, -101.8824104 33.5920982, -101.8824221 33.5921069, -101.8824267 33.5921104, -101.8824526 33.5921139, -101.8829982 33.5921125, -101.8832675 33.5921527)", Line 9,
"LINESTRING (-101.8791561 33.5885371, -101.8791566 33.5884856, -101.8791572 33.5884277, -101.8791348 33.5884112, -101.8791216 33.5883955, -101.8791083 33.5883597, -101.8790995 33.5883100, -101.8790973 33.5882502, -101.8791017 33.5882042, -101.8791138 33.5881563, -101.8791392 33.5880827)", Line 10,
