WKT,name,description
"POINT (-101.8761901 33.5842032)", Name 1 ,
"POINT (-101.8796932 33.5830444)", Name 2 ,
"POINT (-101.8759691 33.5861931)", Name 3 ,
"POINT (-101.8876804 33.5833397)", Name 4 ,
"POINT (-101.8741426 33.5850678)", Name 5 ,
"POINT (-101.8734654 33.5845364)", Name 6 ,
"POINT (-101.8792749 33.5808973)", Name 7 ,
"POINT (-101.8730816 33.5796957)", Name 8 ,
"POINT (-101.8723664 33.5797181)", Name 9 ,
"POINT (-101.8819964 33.5787654)", Name 10 ,
"POINT (-101.8752696 33.5840790)", Name 11 ,
"POINT (-101.8707657 33.5843266)", Name 12 ,
"POINT (-101.8786327 33.5873841)", Name 13 ,
"POINT (-101.8744160 33.5790542)", Name 14 ,
"POINT (-101.8737627 33.5843969)", Name 15 ,
"POINT (-101.8821858 33.5921716)", Name 16 ,
"POINT (-101.8708634 33.5868839)", Name 17 ,
"POINT (-101.8812467 33.5801368)", Name 18 ,
"POINT (-101.8793419 33.5866534)", Name 19 ,
"POINT (-101.8808624 33.5803412)", Name 20 ,
"POINT (-101.8795500 33.5798438)", Name 21 ,
"POINT (-101.8734963 33.5861081)", Name 22 ,
"POINT (-101.8778794 33.5860558)", Name 23 ,
"POINT (-101.8797554 33.5880399)", Name 24 ,
"POINT (-101.8729972 33.5861052)", Name 25 ,
"POINT (-101.8846584 33.5818773)", Name 26 ,
"POINT (-101.8791348 33.5884112)", Name 27 ,
"POINT (-101.8737067 33.5843597)", Name 28 ,
"POINT (-101.8748172 33.5789433)", Name 29 ,
"POINT (-101.8788257 33.5844722)", Name 30 ,
"POINT (-101.8730855 33.5851219)", Name 31 ,
"POINT (-101.8736168 33.5843082)", Name 32 ,
"POINT (-101.8751526 33.5879137)", Name 33 ,
"POINT (-101.8818607 33.5878367)", Name 34 ,
"POINT (-101.8762088 33.5796250)", Name 35 ,
"POINT (-101.8715634 33.5831293)", Name 36 ,
"POINT (-101.8786355 33.5873989)", Name 37 ,
"POINT (-101.8708373 33.5877275)", Name 38 ,
"POINT (-101.8814878 33.5904293)", Name 39 ,
"POINT (-101.8810444 33.5852631)", Name 40 ,
"POINT (-101.8767084 33.5842458)", Name 41 ,
"POINT (-101.8767463 33.5824717)", Name 42 ,
"POINT (-101.8819460 33.5856761)", Name 43 ,
"POINT (-101.8791988 33.5808509)", Name 44 ,
"POINT (-101.8836656 33.5848870)", Name 45 ,
"POINT (-101.8714854 33.5828931)", Name 46 ,
"POINT (-101.8732672 33.5843795)", Name 47 ,
"POINT (-101.8822948 33.5805922)", Name 48 ,
"POINT (-101.8710717 33.5818023)", Name 49 ,
"POINT (-101.8804724 33.5798510)", Name 50 ,
"POINT (-101.8756537 33.5852673)", Name 51 ,
"POINT (-101.8789824 33.5873837)", Name 52 ,
"POINT (-101.8822909 33.5853877)", Name 53 ,
"POINT (-101.8751407 33.5860776)", Name 54 ,
"POINT (-101.8712872 33.5863723)", Name 55 ,
"POINT (-101.8798782 33.5808625)", Name 56 ,
"POINT (-101.8756648 33.5897558)", Name 57 ,
"POINT (-101.8818516 33.5814156)", Name 58 ,
"POINT (-101.8786952 33.5824814)", Name 59 ,
"POINT (-101.8748086 33.5874803)", Name 60 ,
"POINT (-101.8749792 33.5850450)", Name 61 ,
"POINT (-101.8841863 33.5845891)", Name 62 ,
"POINT (-101.8739338 33.5844710)", Name 63 ,
"POINT (-101.8792438 33.5806251)", Name 64 ,
