WKT,name,description
"POINT (-101.8746846 33.5844713)", Start or End node Name 1 ,
"POINT (-101.8746826 33.5835952)", Start or End node Name 2 ,
"POINT (-101.8746846 33.5844713)", Start or End node Name 3 ,
"POINT (-101.8738617 33.5841481)", Start or End node Name 4 ,
"POINT (-101.8750749 33.5851427)", Start or End node Name 5 ,
"POINT (-101.8746846 33.5844713)", Start or End node Name 6 ,
"POINT (-101.8746846 33.5844713)", Start or End node Name 7 ,
"POINT (-101.8743544 33.5850330)", Start or End node Name 8 ,
"POINT (-101.8746846 33.5844713)", Start or End node Name 9 ,
"POINT (-101.8740131 33.5847423)", Start or End node Name 10 ,
"POINT (-101.8746846 33.5844713)", Start or End node Name 11 ,
"POINT (-101.8755679 33.5841965)", Start or End node Name 12 ,
"POINT (-101.8778700 33.5848147)", Start or End node Name 13 ,
"POINT (-101.8778690 33.5849415)", Start or End node Name 14 ,
"POINT (-101.8890848 33.5841328)", Start or End node Name 15 ,
"POINT (-101.8797583 33.5849236)", Start or End node Name 16 ,
"POINT (-101.8815424 33.5896607)", Start or End node Name 17 ,
"POINT (-101.8832675 33.5921527)", Start or End node Name 18 ,
"POINT (-101.8791561 33.5885371)", Start or End node Name 19 ,
"POINT (-101.8791392 33.5880827)", Start or End node Name 20 ,
"POINT (-101.8743714 33.5916364)", Start or End node Name 21 ,
"POINT (-101.8744230 33.5917300)", Start or End node Name 22 ,
"POINT (-101.8731217 33.5847962)", Start or End node Name 23 ,
"POINT (-101.8727293 33.5847935)", Start or End node Name 24 ,
"POINT (-101.8762086 33.5858704)", Start or End node Name 25 ,
"POINT (-101.8758948 33.5858302)", Start or End node Name 26 ,
"POINT (-101.8743475 33.5866833)", Start or End node Name 27 ,
"POINT (-101.8743409 33.5865315)", Start or End node Name 28 ,
"POINT (-101.8732694 33.5851222)", Start or End node Name 29 ,
"POINT (-101.8731750 33.5854577)", Start or End node Name 30 ,
"POINT (-101.8750245 33.5853640)", Start or End node Name 31 ,
"POINT (-101.8750278 33.5860932)", Start or End node Name 32 ,
"POINT (-101.8748304 33.5855749)", Start or End node Name 33 ,
"POINT (-101.8748439 33.5855750)", Start or End node Name 34 ,
"POINT (-101.8727293 33.5847935)", Start or End node Name 35 ,
"POINT (-101.8725974 33.5848975)", Start or End node Name 36 ,
"POINT (-101.8726076 33.5847923)", Start or End node Name 37 ,
"POINT (-101.8724422 33.5847954)", Start or End node Name 38 ,
"POINT (-101.8717105 33.5856917)", Start or End node Name 39 ,
"POINT (-101.8715228 33.5856917)", Start or End node Name 40 ,
"POINT (-101.8756748 33.5862212)", Start or End node Name 41 ,
"POINT (-101.8755166 33.5861050)", Start or End node Name 42 ,
"POINT (-101.8722838 33.5849008)", Start or End node Name 43 ,
"POINT (-101.8722670 33.5847919)", Start or End node Name 44 ,
"POINT (-101.8753186 33.5862713)", Start or End node Name 45 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 46 ,
"POINT (-101.8738375 33.5859185)", Start or End node Name 47 ,
"POINT (-101.8738345 33.5862921)", Start or End node Name 48 ,
"POINT (-101.8741889 33.5857693)", Start or End node Name 49 ,
"POINT (-101.8743458 33.5857693)", Start or End node Name 50 ,
"POINT (-101.8756748 33.5862212)", Start or End node Name 51 ,
"POINT (-101.8762433 33.5861949)", Start or End node Name 52 ,
"POINT (-101.8744415 33.5861023)", Start or End node Name 53 ,
"POINT (-101.8744529 33.5861022)", Start or End node Name 54 ,
"POINT (-101.8751518 33.5878077)", Start or End node Name 55 ,
"POINT (-101.8751585 33.5871390)", Start or End node Name 56 ,
"POINT (-101.8744345 33.5858481)", Start or End node Name 57 ,
"POINT (-101.8743465 33.5858486)", Start or End node Name 58 ,
"POINT (-101.8753186 33.5862713)", Start or End node Name 59 ,
"POINT (-101.8754248 33.5862632)", Start or End node Name 60 ,
"POINT (-101.8749453 33.5853002)", Start or End node Name 61 ,
"POINT (-101.8749614 33.5858012)", Start or End node Name 62 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 63 ,
"POINT (-101.8754308 33.5858686)", Start or End node Name 64 ,
"POINT (-101.8744296 33.5855761)", Start or End node Name 65 ,
"POINT (-101.8744415 33.5861023)", Start or End node Name 66 ,
"POINT (-101.8736184 33.5843483)", Start or End node Name 67 ,
"POINT (-101.8732800 33.5843608)", Start or End node Name 68 ,
"POINT (-101.8727062 33.5850722)", Start or End node Name 69 ,
"POINT (-101.8723865 33.5850347)", Start or End node Name 70 ,
"POINT (-101.8743508 33.5862682)", Start or End node Name 71 ,
"POINT (-101.8743438 33.5854398)", Start or End node Name 72 ,
"POINT (-101.8748456 33.5866859)", Start or End node Name 73 ,
"POINT (-101.8744904 33.5869947)", Start or End node Name 74 ,
"POINT (-101.8752864 33.5870866)", Start or End node Name 75 ,
"POINT (-101.8750526 33.5871407)", Start or End node Name 76 ,
"POINT (-101.8718060 33.5851495)", Start or End node Name 77 ,
"POINT (-101.8717105 33.5856917)", Start or End node Name 78 ,
"POINT (-101.8743438 33.5854398)", Start or End node Name 79 ,
"POINT (-101.8743458 33.5851739)", Start or End node Name 80 ,
"POINT (-101.8741959 33.5855504)", Start or End node Name 81 ,
"POINT (-101.8743438 33.5854398)", Start or End node Name 82 ,
"POINT (-101.8749533 33.5877429)", Start or End node Name 83 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 84 ,
"POINT (-101.8754223 33.5830112)", Start or End node Name 85 ,
"POINT (-101.8738892 33.5834459)", Start or End node Name 86 ,
"POINT (-101.8741882 33.5861017)", Start or End node Name 87 ,
"POINT (-101.8741909 33.5859168)", Start or End node Name 88 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 89 ,
"POINT (-101.8752360 33.5858704)", Start or End node Name 90 ,
"POINT (-101.8751585 33.5871390)", Start or End node Name 91 ,
"POINT (-101.8749555 33.5871396)", Start or End node Name 92 ,
"POINT (-101.8731750 33.5854577)", Start or End node Name 93 ,
"POINT (-101.8732709 33.5846996)", Start or End node Name 94 ,
"POINT (-101.8749614 33.5858012)", Start or End node Name 95 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 96 ,
"POINT (-101.8730855 33.5851219)", Start or End node Name 97 ,
"POINT (-101.8731217 33.5847962)", Start or End node Name 98 ,
"POINT (-101.8741909 33.5859168)", Start or End node Name 99 ,
"POINT (-101.8741949 33.5856498)", Start or End node Name 100 ,
"POINT (-101.8724418 33.5848300)", Start or End node Name 101 ,
"POINT (-101.8727062 33.5850722)", Start or End node Name 102 ,
"POINT (-101.8750245 33.5853640)", Start or End node Name 103 ,
"POINT (-101.8750192 33.5853009)", Start or End node Name 104 ,
"POINT (-101.8718292 33.5851284)", Start or End node Name 105 ,
"POINT (-101.8718060 33.5851495)", Start or End node Name 106 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 107 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 108 ,
"POINT (-101.8742238 33.5866838)", Start or End node Name 109 ,
"POINT (-101.8744888 33.5866837)", Start or End node Name 110 ,
"POINT (-101.8735700 33.5861073)", Start or End node Name 111 ,
"POINT (-101.8741882 33.5861017)", Start or End node Name 112 ,
"POINT (-101.8735700 33.5861073)", Start or End node Name 113 ,
"POINT (-101.8744355 33.5859156)", Start or End node Name 114 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 115 ,
"POINT (-101.8743544 33.5850330)", Start or End node Name 116 ,
"POINT (-101.8741879 33.5862670)", Start or End node Name 117 ,
"POINT (-101.8743508 33.5862682)", Start or End node Name 118 ,
"POINT (-101.8752360 33.5858704)", Start or End node Name 119 ,
"POINT (-101.8762086 33.5858704)", Start or End node Name 120 ,
"POINT (-101.8751910 33.5853646)", Start or End node Name 121 ,
"POINT (-101.8750245 33.5853640)", Start or End node Name 122 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 123 ,
"POINT (-101.8750285 33.5866844)", Start or End node Name 124 ,
"POINT (-101.8748304 33.5855749)", Start or End node Name 125 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 126 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 127 ,
"POINT (-101.8753186 33.5862713)", Start or End node Name 128 ,
"POINT (-101.8744340 33.5853059)", Start or End node Name 129 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 130 ,
"POINT (-101.8751559 33.5864245)", Start or End node Name 131 ,
"POINT (-101.8751429 33.5861639)", Start or End node Name 132 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 133 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 134 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 135 ,
"POINT (-101.8756748 33.5862212)", Start or End node Name 136 ,
"POINT (-101.8741949 33.5856498)", Start or End node Name 137 ,
"POINT (-101.8741984 33.5851003)", Start or End node Name 138 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 139 ,
"POINT (-101.8736209 33.5846023)", Start or End node Name 140 ,
"POINT (-101.8715228 33.5856917)", Start or End node Name 141 ,
"POINT (-101.8714940 33.5853609)", Start or End node Name 142 ,
"POINT (-101.8723865 33.5850347)", Start or End node Name 143 ,
"POINT (-101.8722838 33.5849008)", Start or End node Name 144 ,
"POINT (-101.8718338 33.5847860)", Start or End node Name 145 ,
"POINT (-101.8718292 33.5851284)", Start or End node Name 146 ,
