WKT,name,description
"POINT (-101.8750809 33.5851397)",Ramp,
"POINT (-101.8750185 33.5850348)",Ramp,
"LINESTRING (-101.8750809 33.5851397, -101.8750185 33.5850348)",Line 3,
"POINT (-101.8749423 33.5853024)",Ramp,
"POINT (-101.8748263 33.5853064)",Ramp,
"POINT (-101.8745566 33.5853064)",Ramp,
"POINT (-101.8744392 33.5853069)",Ramp,
"POINT (-101.8749436 33.5855761)",Ramp,
"POINT (-101.8745506 33.5855784)",Ramp,
"POINT (-101.8748349 33.5855773)",Ramp,
"POINT (-101.8744434 33.5855774)",Ramp,
"POINT (-101.8746917 33.585441)",Node,
"LINESTRING (-101.8748349 33.5855773, -101.874691 33.5854496)",Line 13,
"LINESTRING (-101.874691 33.5854496, -101.8745506 33.5855784)",Line 14,
"LINESTRING (-101.8748263 33.5853064, -101.8746904 33.5854446)",Line 15,
"LINESTRING (-101.8746917 33.585441, -101.8745566 33.5853064)",Line 16,
"LINESTRING (-101.8749436 33.5855761, -101.8748349 33.5855773)",Line 17,
"LINESTRING (-101.8749423 33.5853024, -101.8748263 33.5853064)",Line 18,
"LINESTRING (-101.8748263 33.5853064, -101.8745566 33.5853064)",Line 19,
"LINESTRING (-101.8748349 33.5855773, -101.8745506 33.5855784)",Line 20,
"LINESTRING (-101.8745506 33.5855784, -101.8744434 33.5855774)",Line 21,
"LINESTRING (-101.8745566 33.5853064, -101.8744392 33.5853069)",Line 22,
"LINESTRING (-101.8748349 33.5855773, -101.8748263 33.5853064)",Line 23,
"LINESTRING (-101.8745506 33.5855784, -101.874549 33.585307)",Line 24,
"LINESTRING (-101.8749436 33.5855761, -101.8749423 33.5853024)",Line 25,
"LINESTRING (-101.8744434 33.5855774, -101.8744392 33.5853069)",Line 26,
"POINT (-101.8732499 33.5855035)",Holden Hall Entrance,
"POINT (-101.8748349 33.5857995)",Ramp,
"POINT (-101.8749643 33.5858045)",Ramp,
"POINT (-101.8744439 33.5860998)",Ramp,
"POINT (-101.8745511 33.5860992)",Ramp,
"POINT (-101.8748368 33.5860992)",Ramp,
"POINT (-101.8745483 33.5864037)",Ramp,
"POINT (-101.8748391 33.586686)",Ramp,
"POINT (-101.8745548 33.586686)",Ramp,
"POINT (-101.8745547 33.5869587)",Ramp,
"POINT (-101.8748423 33.587473)",Ramp,
"POINT (-101.8745574 33.5874847)",Ramp,
"POINT (-101.874953 33.5874702)",Ramp,
"POINT (-101.8744188 33.5874948)",Ramp,
"POINT (-101.8743661 33.5877454)",Ramp,
"POINT (-101.8743507 33.587599)",Ramp,
"POINT (-101.8747019 33.5877349)",Ramp,
"LINESTRING (-101.8745506 33.5855784, -101.8748349 33.5857995)",Line 44,
"LINESTRING (-101.8748349 33.5857995, -101.8749643 33.5858045)",Line 45,
"POINT (-101.874943 33.5860813)",Ramp,
"LINESTRING (-101.8749643 33.5858045, -101.874943 33.5860813)",Line 47,
"LINESTRING (-101.874943 33.5860813, -101.8748368 33.5860992)",Line 48,
"LINESTRING (-101.8748368 33.5860992, -101.8745511 33.5860992)",Line 49,
"LINESTRING (-101.8745511 33.5860992, -101.8744439 33.5860998)",Line 50,
"LINESTRING (-101.8745483 33.5864037, -101.8748391 33.586686)",Line 51,
"LINESTRING (-101.8748391 33.586686, -101.8745548 33.586686)",Line 52,
"LINESTRING (-101.8748391 33.586686, -101.8745547 33.5869587)",Line 53,
"POINT (-101.874948 33.5866815)",Ramp,
"POINT (-101.8744442 33.5866851)",Ramp,
"LINESTRING (-101.8748391 33.586686, -101.874948 33.5866815)",Line 56,
"LINESTRING (-101.8745548 33.586686, -101.8744442 33.5866851)",Line 57,
"LINESTRING (-101.874953 33.5874702, -101.8748423 33.587473)",Line 58,
"LINESTRING (-101.8748423 33.587473, -101.8745574 33.5874847)",Line 59,
"LINESTRING (-101.8745574 33.5874847, -101.8744188 33.5874948)",Line 60,
"LINESTRING (-101.8744188 33.5874948, -101.8743507 33.587599)",Line 61,
"LINESTRING (-101.8743661 33.5877454, -101.8743507 33.587599)",Line 62,
"LINESTRING (-101.8743661 33.5877454, -101.8747019 33.5877349)",Line 63,
"POINT (-101.8742855 33.5851396)",Ramp,
"POINT (-101.8743497 33.58503)",Ramp,
"POINT (-101.8738508 33.5848004)",Ramp,
"POINT (-101.8740184 33.5847468)",Ramp,
"POINT (-101.8754924 33.5847897)",Ramp,
"POINT (-101.8753623 33.5847389)",Ramp,
