WKT,name,description
"LINESTRING (-101.8746846 33.5844713, -101.8746843 33.584315)", Line 0,
"LINESTRING (-101.8746843 33.584315, -101.8746853 33.5841113)", Line 1,
"LINESTRING (-101.8746853 33.5841113, -101.8746817 33.5838454)", Line 2,
"LINESTRING (-101.8746817 33.5838454, -101.8746813 33.5838037)", Line 3,
"LINESTRING (-101.8746813 33.5838037, -101.8746817 33.5837264)", Line 4,
"LINESTRING (-101.8746817 33.5837264, -101.8746826 33.5835952)", Line 5,
"LINESTRING (-101.8746846 33.5844713, -101.874517 33.5844042)", Line 6,
"LINESTRING (-101.874517 33.5844042, -101.8743527 33.5843384)", Line 7,
"LINESTRING (-101.8743527 33.5843384, -101.8740081 33.5842006)", Line 8,
"LINESTRING (-101.8740081 33.5842006, -101.8739639 33.5841848)", Line 9,
"LINESTRING (-101.8739639 33.5841848, -101.8738617 33.5841481)", Line 10,
"LINESTRING (-101.8750749 33.5851427, -101.8750393 33.5850812)", Line 11,
"LINESTRING (-101.8750393 33.5850812, -101.8750109 33.5850321)", Line 12,
"LINESTRING (-101.8750109 33.5850321, -101.874766 33.584611)", Line 13,
"LINESTRING (-101.874766 33.584611, -101.8746846 33.5844713)", Line 14,
"LINESTRING (-101.8746846 33.5844713, -101.8746051 33.5846104)", Line 15,
"LINESTRING (-101.8746051 33.5846104, -101.8743544 33.585033)", Line 16,
"LINESTRING (-101.8746846 33.5844713, -101.8745174 33.5845391)", Line 17,
"LINESTRING (-101.8745174 33.5845391, -101.8743531 33.5846053)", Line 18,
"LINESTRING (-101.8743531 33.5846053, -101.8740131 33.5847423)", Line 19,
"LINESTRING (-101.8746846 33.5844713, -101.8748528 33.5844024)", Line 20,
"LINESTRING (-101.8748528 33.5844024, -101.87536 33.5841948)", Line 21,
"LINESTRING (-101.87536 33.5841948, -101.8753772 33.5841872)", Line 22,
"LINESTRING (-101.8753772 33.5841872, -101.8754203 33.5841893)", Line 23,
"LINESTRING (-101.8754203 33.5841893, -101.8755203 33.5841942)", Line 24,
"LINESTRING (-101.8755203 33.5841942, -101.8755679 33.5841965)", Line 25,
"LINESTRING (-101.87787 33.5848147, -101.8778696 33.5848672)", Line 26,
"LINESTRING (-101.8778696 33.5848672, -101.877869 33.5849415)", Line 27,
"LINESTRING (-101.8791561 33.5885371, -101.8791566 33.5884856)", Line 28,
"LINESTRING (-101.8791566 33.5884856, -101.8791572 33.5884277)", Line 29,
"LINESTRING (-101.8791572 33.5884277, -101.8791348 33.5884112)", Line 30,
"LINESTRING (-101.8791348 33.5884112, -101.8791216 33.5883955)", Line 31,
"LINESTRING (-101.8791216 33.5883955, -101.8791083 33.5883597)", Line 32,
"LINESTRING (-101.8791083 33.5883597, -101.8790995 33.58831)", Line 33,
"LINESTRING (-101.8790995 33.58831, -101.8790973 33.5882502)", Line 34,
"LINESTRING (-101.8790973 33.5882502, -101.8791017 33.5882042)", Line 35,
"LINESTRING (-101.8791017 33.5882042, -101.8791138 33.5881563)", Line 36,
"LINESTRING (-101.8791138 33.5881563, -101.8791392 33.5880827)", Line 37,
"LINESTRING (-101.8743714 33.5916364, -101.8743718 33.5917314)", Line 38,
"LINESTRING (-101.8743718 33.5917314, -101.874423 33.59173)", Line 39,
"LINESTRING (-101.8731217 33.5847962, -101.8727293 33.5847935)", Line 40,
"LINESTRING (-101.8762086 33.5858704, -101.8760477 33.5858034)", Line 41,
"LINESTRING (-101.8743475 33.5866833, -101.8743409 33.5865315)", Line 42,
"LINESTRING (-101.8732694 33.5851222, -101.8732717 33.5852271)", Line 43,
"LINESTRING (-101.8732717 33.5852271, -101.8732769 33.5854571)", Line 44,
"LINESTRING (-101.8732769 33.5854571, -101.873175 33.5854577)", Line 45,
"LINESTRING (-101.8750245 33.585364, -101.875024 33.5854805)", Line 46,
"LINESTRING (-101.875024 33.5854805, -101.8750249 33.5855714)", Line 47,
"LINESTRING (-101.8750249 33.5855714, -101.8750262 33.5858019)", Line 48,
"LINESTRING (-101.8750262 33.5858019, -101.8750278 33.586076)", Line 49,
"LINESTRING (-101.8750278 33.586076, -101.8750278 33.5860932)", Line 50,
"LINESTRING (-101.8748304 33.5855749, -101.8749397 33.5855749)", Line 51,
"LINESTRING (-101.8727293 33.5847935, -101.8726833 33.5848225)", Line 52,
"LINESTRING (-101.8726833 33.5848225, -101.8726434 33.5848582)", Line 53,
